Title,Description,URL
[Two domestic cats fighting],"[Two domestic cats fighting]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : lithograph ; 23.2 x 31.5 cm (sheet)
                        
                    
                

            
        
        


Contributor:

                        Brodtmann, Joseph - Mind, Gottfried
                        


Date:
: 1820",https://www.loc.gov/item/2012645546/
[College girl walking cats],"[College girl walking cats]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : photomechanical ; sheet 92 x 122 cm. or less.
                        
                    
                

            
        
        


Date:
: 1905",https://www.loc.gov/item/2018757284/
"[Cat, curled up]","[Cat, curled up]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing : charcoal.
                        
                    
                

            
        
        


Contributor:

                        Stephens, Alice Barber
                        


Date:
: 1870",https://www.loc.gov/item/2010718354/
Sketches from cat life,"Sketches from cat life
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing : pen and ink.
                        
                    
                

            
        
        


Contributor:

                        Stephens, Alice Barber
                        


Date:
: 1885",https://www.loc.gov/item/2010718276/
Hon[orable Mr] cat,"Hon[orable Mr] cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print on white wove tissue paper : woodcut, color ; 21.7 x 9.6 cm. (block), 26.8 x 19.2 cm. (sheet) | Print shows a young Japanese girl carrying a cat, walking in the rain under an umbrella held by an adult.
                        
                    
                

            
        
        


Contributor:

                        Hyde, Helen
                        


Date:
: 1903",https://www.loc.gov/item/2003675444/
"Cats posed in pots
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available","Cats posed in pots
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available
            


        
            

                
                    
                        
                          6 photographic prints on stereo cards : stereograph, albumen ; 9 x 18 cm. | Photographs show a series of humorous photographs of cats posed with props.
                        
                    
                

            
        
        


Contributor:

                        Lyman, Frank
                        


Date:
: 1871",//lccn.loc.gov/2006678567
Cats used in experiments,"Cats used in experiments
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photograph : color transparency ; 35mm (slide format)
                        
                    
                

            
        
        


Contributor:

                        Gotfryd, Bernard
                        


Date:
: 1984",https://www.loc.gov/item/2020736291/
Cats used in experiments,"Cats used in experiments
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photograph : color transparency ; 35mm (slide format)
                        
                    
                

            
        
        


Contributor:

                        Gotfryd, Bernard
                        


Date:
: 1984",https://www.loc.gov/item/2020736862/
Cats used in experiments,"Cats used in experiments
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photograph : color transparency ; 35mm (slide format)
                        
                    
                

            
        
        


Contributor:

                        Gotfryd, Bernard
                        


Date:
: 1984",https://www.loc.gov/item/2020736863/
Cats used in experiments,"Cats used in experiments
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photograph : color transparency ; 35mm (slide format)
                        
                    
                

            
        
        


Contributor:

                        Gotfryd, Bernard
                        


Date:
: 1984",https://www.loc.gov/item/2020736864/
"Schermerhorn cat, portrait photograph","Schermerhorn cat, portrait photograph
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : nitrate ; 4 x 5 in. or smaller.
                        
                    
                

            
        
        


Contributor:

                        Genthe, Arnold
                        


Date:
: 1928",https://www.loc.gov/item/2018715869/
Study of a cat,"Study of a cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photographic print : gelatin silver. | Photograph shows close-up portrait of a cat, possibly one of the cats that Arnold Genthe called Buzzer.
                        
                    
                

            
        
        


Contributor:

                        Genthe, Arnold
                        


Date:
: 1910",https://www.loc.gov/item/00652567/
[Black cat in garden],"[Black cat in garden]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing : watercolor, gouache, and ink over graphite underdrawing. | Drawing shows a black cat walking stealthily through a garden full of brightly colored flowers.
                        
                    
                

            
        
        


Contributor:

                        Steig, William
                        


Date:
: 1960",https://www.loc.gov/item/2005693005/
"Clicker training for cats /
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available","Clicker training for cats /
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available
            



Contributor:

                        Pryor, Karen
                        


Date:
: 2001",//lccn.loc.gov/2001117576
